iter	Logloss
0	0.686447911
1	0.6811974776
2	0.676445487
3	0.6713058017
4	0.6666579771
5	0.6626125407
6	0.6586113837
7	0.6546272349
8	0.6510947005
9	0.6480755778
10	0.6452935723
11	0.642125494
12	0.6393619172
13	0.6373303001
14	0.6352941279
15	0.6338586216
16	0.6320241131
17	0.6303067353
18	0.6284808598
19	0.6275401975
20	0.6266462508
21	0.6262860455
22	0.6256085367
23	0.6243064909
24	0.6231141059
25	0.621522665
26	0.6203945778
27	0.6194047948
28	0.6185023187
29	0.6173737022
30	0.61657346
31	0.6154788432
32	0.6152490974
33	0.6145107979
34	0.6135939946
35	0.6125648877
36	0.6115980996
37	0.6108797104
38	0.6103331458
39	0.6095913171
40	0.6087562027
41	0.6082004155
42	0.6073901473
43	0.6065784613
44	0.6059436453
45	0.6052068146
46	0.604931946
47	0.604784018
48	0.6041054447
49	0.6040602418
50	0.6034176486
51	0.6026580788
52	0.6021688692
53	0.6021254569
54	0.6017796678
55	0.60140624
56	0.6009869499
57	0.6007890281
58	0.6004997605
59	0.6003871565
60	0.5997769893
61	0.5996344167
62	0.5991151204
63	0.5986735286
64	0.5986646716
65	0.5983419002
66	0.5980600664
67	0.5976494328
68	0.5971467377
69	0.5970451592
70	0.596507462
71	0.5964398459
72	0.5960211406
73	0.595720517
74	0.5951527869
75	0.5948145502
76	0.5945820988
77	0.5941887502
78	0.5936197751
79	0.5932643365
80	0.5929993055
81	0.5926695874
82	0.5925117629
83	0.5922010797
84	0.5920494395
85	0.5918444179
86	0.5915087339
87	0.5913759688
88	0.5910547864
89	0.5907967747
90	0.5907339095
91	0.5904084856
92	0.5900216807
93	0.5895394449
94	0.5892308298
95	0.5890635616
96	0.5886753926
97	0.5883635525
98	0.5877945267
99	0.5877240655
100	0.5874354626
101	0.5872942818
102	0.5871127152
103	0.5870714796
104	0.58700516
105	0.5865467905
106	0.5863388414
107	0.5860589795
108	0.5856754549
109	0.5853112184
110	0.5852653933
111	0.5849359078
112	0.58467667
113	0.5845204578
114	0.5843809404
115	0.5843359775
116	0.5841613511
117	0.5837632877
118	0.5836608238
119	0.5836219709
120	0.5835597427
121	0.5831277175
122	0.5829123018
123	0.5823821487
124	0.5820307566
125	0.5817881266
126	0.5816876836
127	0.5814042564
128	0.5813088666
129	0.5812199778
130	0.5808609098
131	0.5804123596
132	0.580011654
133	0.5797580767
134	0.5792538137
135	0.5790020023
136	0.5788491591
137	0.57865209
138	0.5786515822
139	0.5784171011
140	0.5781593111
141	0.5779107528
142	0.5776553114
143	0.5774191775
144	0.5772232487
145	0.5767733252
146	0.5767456445
147	0.5766869588
148	0.5764190705
149	0.5763089593
150	0.5762625052
151	0.5762623772
152	0.576029397
153	0.5758161083
154	0.5757617344
155	0.5755952897
156	0.5753687057
157	0.575263892
158	0.5751841523
159	0.5750825139
160	0.5748392179
161	0.5746976254
162	0.5744831342
163	0.5742139204
164	0.5739984701
165	0.5739765345
166	0.573645101
167	0.5734904491
168	0.5734625682
169	0.5732976321
170	0.5728952408
171	0.5726943418
172	0.5723182448
173	0.5720608563
174	0.5718810954
175	0.571807736
176	0.5716570797
177	0.5714626436
178	0.5711820204
179	0.5708571854
180	0.5707365882
181	0.5705968626
182	0.5705560311
183	0.5705083041
184	0.5703662637
185	0.5702252512
186	0.5698997102
187	0.5697474799
188	0.569377267
189	0.5692221457
190	0.5690143297
191	0.5687052873
192	0.5686096169
193	0.5683189413
194	0.568298943
195	0.5682849687
196	0.567989549
197	0.5677642358
198	0.567694786
199	0.5675708102
