iter	Logloss
0	0.6883873478
1	0.6843154698
2	0.680581682
3	0.6770206683
4	0.6736180642
5	0.6704685626
6	0.6671596852
7	0.6644118252
8	0.6618514301
9	0.6593072369
10	0.6564676204
11	0.6539860065
12	0.6516309539
13	0.6492053138
14	0.6470769525
15	0.6447755278
16	0.6426652318
17	0.6405956684
18	0.6385585201
19	0.6368802975
20	0.6347385267
21	0.6334107496
22	0.631907665
23	0.6302594904
24	0.6286666605
25	0.6266799512
26	0.6251358247
27	0.6233670984
28	0.6217731963
29	0.620201629
30	0.6189028571
31	0.617662895
32	0.6160984936
33	0.6144078905
34	0.6133645615
35	0.6123288094
36	0.6113304457
37	0.6103353734
38	0.6095200897
39	0.6083621325
40	0.6072661623
41	0.6063933621
42	0.6052310899
43	0.6045498808
44	0.6035989106
45	0.6024244361
46	0.6011643728
47	0.6002275977
48	0.5990437972
49	0.5983973058
50	0.5978058563
51	0.5969148729
52	0.596288552
53	0.5953503452
54	0.5947913725
55	0.5942184546
56	0.5937142223
57	0.5928517839
58	0.591699697
59	0.5910536506
60	0.590293483
61	0.5896657019
62	0.5884353679
63	0.5882778874
64	0.5877127871
65	0.5870846383
66	0.5860303199
67	0.5855370442
68	0.5845644656
69	0.584288192
70	0.5836176528
71	0.5835749176
72	0.5830101679
73	0.582662548
74	0.581185221
75	0.5803282241
76	0.5802220826
77	0.57957063
78	0.5794332054
79	0.5787608264
80	0.5783749586
81	0.57766435
82	0.5768877323
83	0.5765141949
84	0.5755839554
85	0.5746858324
86	0.5741286762
87	0.5733716793
88	0.5728400914
89	0.5725659204
90	0.5719983505
91	0.5719744951
92	0.5716080837
93	0.5711315242
94	0.5705948391
95	0.5698179484
96	0.5692661233
97	0.5688729845
98	0.5679771073
99	0.5671461405
100	0.565989297
101	0.5655825994
102	0.565110268
103	0.5647427794
104	0.5643123196
105	0.564243084
106	0.5642071341
107	0.563771272
108	0.5633992751
109	0.5628567545
110	0.5624658896
111	0.5621739476
112	0.5615879784
113	0.5615576132
114	0.5615081611
115	0.5614624647
116	0.5611763094
117	0.5609155004
118	0.5607780414
119	0.5600175354
120	0.5593782832
121	0.5592646913
122	0.5587633422
123	0.5582319341
124	0.5581222862
125	0.5579962376
126	0.5579739269
127	0.5574560985
128	0.5573276018
129	0.5571141674
130	0.5571072411
131	0.5570818574
132	0.5570520328
133	0.5566791109
134	0.5562378755
135	0.5561919303
136	0.5560323629
137	0.5556270462
138	0.5555776432
139	0.555207347
140	0.5547238105
141	0.5542627163
142	0.5541440449
143	0.5536812478
144	0.553455218
145	0.5529554125
146	0.5527949808
147	0.5527949808
148	0.552728904
149	0.5521448594
